Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"January, 2016",20.1,11.4,28.7,2.50,"1,278",
"December, 2015",31.2,24.9,37.4,5.31,960,
"November, 2015",37.0,28.7,45.3,2.43,770,
"October, 2015",43.2,33.1,53.2,4.73,599,
"September, 2015",61.8,49.9,73.7,4.82,88,39
"August, 2015",67.2,56.8,77.5,3.90,23,130
"July, 2015",64.8,54.0,75.5,3.61,42,79
"June, 2015",57.5,47.4,67.5,5.79,195,
"May, 2015",55.7,42.8,68.7,2.80,259,4
"April, 2015",37.8,27.2,48.5,3.08,741,
"March, 2015",21.6,10.2,33.0,1.78,"1,255",
"February, 2015",5.2,-5.8,16.1,1.74,"1,575",
"January, 2015",11.7,0.7,22.7,3.17,"1,530",
"December, 2014",26.0,19.4,32.5,6.08,"1,095",
"November, 2014",31.8,24.2,39.4,3.50,920,
"October, 2014",48.5,40.1,56.9,6.20,446,
"September, 2014",56.4,44.8,68.1,1.61,208,5
"August, 2014",64.4,53.5,75.2,3.34,55,76
"July, 2014",67.2,56.6,77.9,6.65,18,129
"June, 2014",61.6,50.0,73.2,4.58,96,22
"May, 2014",51.7,41.1,62.2,3.99,377,
"April, 2014",38.7,28.0,49.4,3.44,714,
"March, 2014",18.1,6.4,29.9,3.80,"1,319",
"February, 2014",15.7,4.9,26.5,2.85,"1,271",
"January, 2014",14.2,4.9,23.6,3.41,"1,453",
"December, 2013",17.0,9.3,24.6,3.76,"1,373",
"November, 2013",32.3,24.0,40.6,4.11,902,
"October, 2013",47.3,37.0,57.6,1.70,487,
"September, 2013",56.7,46.6,66.9,5.42,206,5
"August, 2013",63.7,52.7,74.7,4.60,60,72
"July, 2013",68.3,57.7,78.8,4.89,11,161
"June, 2013",60.8,50.3,71.3,6.55,97,22
"May, 2013",52.3,40.2,64.4,5.67,370,
"April, 2013",39.1,28.2,50.0,1.98,702,
"March, 2013",30.3,22.5,38.2,2.45,"1,002",
"February, 2013",20.0,11.3,28.8,3.06,"1,155",
