Place,2020 Total Population,2010 Total Population,Percent Change
Fayette town,1160,1140,2%
Gardiner city,5961,5800,3%
Hallowell city,2570,2381,8%
Litchfield town,3586,3624,-1%
Manchester town,2456,2580,-5%
Monmouth town,4066,4104,-1%
Mount Vernon town,1721,1640,5%
Oakland town,6230,6240,0%
Pittston town,2875,2666,8%
Randolph town,1743,1772,-2%
Readfield town,2597,2598,0%
Rome town,1148,1010,14%
Sidney town,4645,4208,10%
Unity UT,36,43,-16%
Vassalboro town,4520,4340,4%
Vienna town,578,570,1%
Waterville city,15828,15722,1%
Wayne town,1129,1189,-5%
West Gardiner town,3671,3474,6%
Windsor town,2632,2575,2%
Winslow town,7948,7794,2%
Winthrop town,6121,6092,0%
Appleton town,1411,1316,7%
Camden town,5232,4850,8%
Criehaven UT,4,1,300%
Cushing town,1502,1534,-2%
Friendship town,1142,1152,-1%
Hope town,1698,1536,11%
Isle au Haut town,92,73,26%
Matinicus Isle plantation,53,74,-28%
Muscle Ridge Islands UT,9,6,50%
North Haven town,417,355,17%
Owls Head town,1504,1580,-5%
Rockland city,6936,7297,-5%
Rockport town,3644,3330,9%
St. George town,2594,2591,0%
South Thomaston town,1511,1558,-3%
Thomaston town,2739,2781,-2%
Union town,2383,2259,5%
Vinalhaven town,1279,1165,10%
Warren town,4865,4751,2%
Washington town,1592,1527,4%
Alna town,710,709,0%
Boothbay town,3003,3120,-4%
Boothbay Harbor town,2027,2165,-6%
Bremen town,823,806,2%
Bristol town,2834,2755,3%
Damariscotta town,2297,2218,4%
Dresden town,1725,1672,3%
Edgecomb town,1188,1249,-5%
Hibberts gore,1,1,0%
Jefferson town,2551,2427,5%
Louds Island UT,3,0,#DIV/0!
Monhegan plantation,64,69,-7%
Newcastle town,1848,1752,5%
Nobleboro town,1791,1643,9%
Somerville town,600,548,9%
South Bristol town,1127,892,26%
Southport town,622,606,3%
Waldoboro town,5154,5075,2%
Westport Island town,719,718,0%
Whitefield town,2408,2300,5%
Wiscasset town,3742,3732,0%
Andover town,752,821,-8%
Bethel town,2504,2607,-4%
Brownfield town,1631,1597,2%
Buckfield town,1983,2009,-1%
Byron town,103,145,-29%
Canton town,1125,990,14%
Denmark town,1197,1148,4%
Dixfield town,2253,2550,-12%
Fryeburg town,3369,3449,-2%
Gilead town,195,209,-7%
Greenwood town,774,830,-7%
Hanover town,286,238,20%
Hartford town,1203,1185,2%
Hebron town,1223,1416,-14%
Hiram town,1609,1620,-1%
Lincoln plantation,41,45,-9%
Lovell town,1104,1140,-3%
Magalloway plantation,45,46,-2%
Mexico town,2756,2681,3%
Milton UT,150,143,5%
Newry town,411,329,25%
North Oxford UT,16,24,-33%
Norway town,5077,5014,1%
Otisfield town,1853,1770,5%
Oxford town,4229,4110,3%
Paris town,5179,5183,0%
Peru town,1488,1541,-3%
Porter town,1600,1498,7%
Roxbury town,361,369,-2%
Rumford town,5858,5841,0%
South Oxford UT,591,579,2%
Stoneham town,261,236,11%
Stow town,393,385,2%
Sumner town,994,939,6%
Sweden town,406,391,4%
Upton town,69,113,-39%
Waterford town,1570,1553,1%
West Paris town,1766,1812,-3%
Woodstock town,1352,1277,6%
Alton town,829,890,-7%
Argyle UT,255,277,-8%
Bangor city,31753,33039,-4%
Bradford town,1184,1290,-8%
Bradley town,1532,1492,3%
Brewer city,9672,9482,2%
Burlington town,373,363,3%
Carmel town,2867,2794,3%
Carroll plantation,138,153,-10%
Charleston town,1551,1409,10%
Chester town,549,546,1%
Clifton town,840,921,-9%
Corinna town,2221,2198,1%
Corinth town,2900,2878,1%
Dexter town,3803,3895,-2%
Dixmont town,1211,1181,3%
Drew plantation,26,46,-43%
East Central Penobscot UT,308,343,-10%
East Millinocket town,1572,1723,-9%
Eddington town,2194,2225,-1%
Edinburg town,134,131,2%
Enfield town,1435,1607,-11%
Etna town,1226,1246,-2%
Exeter town,963,1092,-12%
Garland town,1026,1105,-7%
Glenburn town,4648,4594,1%
Greenbush town,1444,1491,-3%
Hampden town,7709,7257,6%
Hermon town,6461,5416,19%
Holden town,3277,3076,7%
Howland town,1094,1241,-12%
Hudson town,1416,1536,-8%
Kenduskeag town,1346,1348,0%
Kingman UT,137,174,-21%
Lagrange town,635,708,-10%
Lakeville town,104,105,-1%
Lee town,916,922,-1%
Levant town,2940,2851,3%
Lincoln town,4853,5085,-5%
Lowell town,368,358,3%
Mattawamkeag town,596,687,-13%
Maxfield town,89,97,-8%
Medway town,1187,1349,-12%
Milford town,3069,3070,0%
Millinocket town,4114,4506,-9%
Mount Chase town,187,201,-7%
Newburgh town,1595,1551,3%
Newport town,3133,3275,-4%
North Penobscot UT,405,463,-13%
Old Town city,7431,7840,-5%
Orono town,11183,10362,8%
Orrington town,3812,3733,2%
Passadumkeag town,356,374,-5%
Patten town,881,1017,-13%
Penobscot Indian Island Reservation,370,610,-39%
Plymouth town,1325,1380,-4%
Prentiss UT,169,214,-21%
Seboeis plantation,40,35,14%
Springfield town,293,409,-28%
Stacyville town,380,396,-4%
Stetson town,1186,1202,-1%
Twombly Ridge UT,0,0,#DIV/0!
Veazie town,1814,1919,-5%
Webster plantation,68,85,-20%
