county,year,total_population,population_65plus,pct_65plus
Androscoggin,2010,111133,20194,18.17
Androscoggin,2011,111178,20320,18.28
Androscoggin,2012,112733,20912,18.55
Androscoggin,2013,113454,21407,18.87
Androscoggin,2014,114477,22110,19.31
Androscoggin,2015,115272,22731,19.72
Androscoggin,2016,107269,17419,16.24
Androscoggin,2017,107408,18100,16.85
Androscoggin,2018,107548,18782,17.46
Androscoggin,2019,107688,19465,18.08
Androscoggin,2020,107828,20150,18.69
Androscoggin,2021,107968,20842,19.3
Androscoggin,2022,108090,21449,19.84
Androscoggin,2023,108212,22062,20.39
Androscoggin,2024,108334,22676,20.93
Androscoggin,2025,108456,23292,21.48
Androscoggin,2026,108579,23911,22.02
Aroostook,2010,67088,16640,24.8
Aroostook,2011,67053,16734,24.96
Aroostook,2012,67062,17008,25.36
Aroostook,2013,67250,17214,25.6
Aroostook,2014,67149,17469,26.02
Aroostook,2015,66776,17630,26.4
Aroostook,2016,68116,14808,21.74
Aroostook,2017,68078,15358,22.56
Aroostook,2018,68041,15907,23.38
Aroostook,2019,68003,16456,24.2
Aroostook,2020,67966,17005,25.02
Aroostook,2021,67929,17555,25.84
Aroostook,2022,67890,18037,26.57
Aroostook,2023,67851,18520,27.3
Aroostook,2024,67813,19003,28.02
Aroostook,2025,67774,19486,28.75
Aroostook,2026,67736,19970,29.48
Cumberland,2010,303080,57818,19.08
Cumberland,2011,303606,58292,19.2
Cumberland,2012,306152,60642,19.81
Cumberland,2013,309309,63001,20.37
Cumberland,2014,311258,65325,20.99
Cumberland,2015,313809,67625,21.55
Cumberland,2016,290905,51625,17.75
Cumberland,2017,291666,53724,18.42
Cumberland,2018,292427,55824,19.09
Cumberland,2019,293188,57933,19.76
Cumberland,2020,293949,60053,20.43
Cumberland,2021,294711,62172,21.1
Cumberland,2022,295495,64104,21.69
Cumberland,2023,296279,66034,22.29
Cumberland,2024,297063,67973,22.88
Cumberland,2025,297847,69922,23.48
Cumberland,2026,298632,71868,24.07
Franklin,2010,29451,6637,22.54
Franklin,2011,29468,6705,22.75
Franklin,2012,30265,6948,22.96
Franklin,2013,30604,7159,23.39
Franklin,2014,30826,7430,24.1
Franklin,2015,30902,7625,24.67
Franklin,2016,30071,6109,20.32
Franklin,2017,30049,6336,21.09
Franklin,2018,30028,6561,21.85
Franklin,2019,30006,6786,22.62
Franklin,2020,29985,7011,23.38
Franklin,2021,29964,7236,24.15
Franklin,2022,29977,7443,24.83
Franklin,2023,29990,7650,25.51
Franklin,2024,30003,7857,26.19
Franklin,2025,30016,8065,26.87
Franklin,2026,30030,8273,27.55
Hancock,2010,55481,13997,25.23
Hancock,2011,55512,14124,25.44
Hancock,2012,56362,14613,25.93
Hancock,2013,56677,15151,26.73
Hancock,2014,56801,15594,27.45
Hancock,2015,56946,15882,27.89
Hancock,2016,54398,12493,22.97
Hancock,2017,54436,12975,23.84
Hancock,2018,54474,13456,24.7
Hancock,2019,54512,13937,25.57
Hancock,2020,54550,14419,26.43
Hancock,2021,54588,14903,27.3
Hancock,2022,54606,15327,28.07
Hancock,2023,54624,15753,28.84
Hancock,2024,54642,16179,29.61
Hancock,2025,54660,16605,30.38
Hancock,2026,54679,17030,31.15
Kennebec,2010,124513,25112,20.17
Kennebec,2011,124723,25287,20.27
Kennebec,2012,125775,26107,20.76
Kennebec,2013,127143,26805,21.08
Kennebec,2014,127936,27610,21.58
Kennebec,2015,128461,28407,22.11
Kennebec,2016,121328,22091,18.21
Kennebec,2017,121156,22893,18.9
Kennebec,2018,120984,23691,19.58
Kennebec,2019,120812,24486,20.27
Kennebec,2020,120640,25278,20.95
Kennebec,2021,120469,26074,21.64
Kennebec,2022,120394,26787,22.25
Kennebec,2023,120319,27504,22.86
Kennebec,2024,120244,28221,23.47
Kennebec,2025,120169,28936,24.08
Kennebec,2026,120095,29653,24.69
Knox,2010,40611,10658,26.24
Knox,2011,40663,10767,26.48
Knox,2012,41078,11165,27.18
Knox,2013,41251,11577,28.06
Knox,2014,41044,11763,28.66
Knox,2015,40981,12052,29.41
Knox,2016,39655,9604,24.22
Knox,2017,39610,9955,25.13
Knox,2018,39565,10305,26.05
Knox,2019,39520,10655,26.96
Knox,2020,39475,11004,27.88
Knox,2021,39430,11352,28.79
Knox,2022,39364,11651,29.6
Knox,2023,39299,11950,30.41
Knox,2024,39233,12248,31.22
Knox,2025,39168,12545,32.03
Knox,2026,39103,12842,32.84
Lincoln,2010,35239,9938,28.2
Lincoln,2011,35256,9996,28.35
Lincoln,2012,36024,10390,28.84
Lincoln,2013,36263,10633,29.32
Lincoln,2014,36460,10882,29.85
Lincoln,2015,36491,11169,30.61
Lincoln,2016,33993,8568,25.21
Lincoln,2017,33754,8830,26.16
Lincoln,2018,33516,9087,27.11
Lincoln,2019,33277,9339,28.07
Lincoln,2020,33039,9587,29.02
Lincoln,2021,32801,9828,29.97
Lincoln,2022,32585,10040,30.81
Lincoln,2023,32370,10246,31.65
Lincoln,2024,32155,10449,32.5
Lincoln,2025,31940,10648,33.34
Lincoln,2026,31725,10844,34.18
Oxford,2010,57756,13107,22.69
Oxford,2011,57892,13232,22.86
Oxford,2012,58690,13644,23.25
Oxford,2013,59539,14248,23.93
Oxford,2014,60115,14771,24.57
Oxford,2015,60039,15151,25.24
Oxford,2016,57096,11867,20.79
Oxford,2017,56898,12275,21.57
Oxford,2018,56700,12676,22.36
Oxford,2019,56503,13075,23.14
Oxford,2020,56305,13471,23.93
