county,year,total_population,population_65plus,pct_65plus
Oxford,2021,56108,13863,24.71
Oxford,2022,55934,14210,25.41
Oxford,2023,55761,14554,26.1
Oxford,2024,55587,14896,26.8
Oxford,2025,55414,15235,27.49
Oxford,2026,55241,15570,28.19
Penobscot,2010,152199,29112,19.13
Penobscot,2011,152179,29333,19.28
Penobscot,2012,153383,30241,19.72
Penobscot,2013,154817,31207,20.16
Penobscot,2014,156329,32135,20.56
Penobscot,2015,156840,33185,21.16
Penobscot,2016,151515,26402,17.43
Penobscot,2017,151597,27417,18.09
Penobscot,2018,151679,28427,18.74
Penobscot,2019,151762,29438,19.4
Penobscot,2020,151844,30450,20.05
Penobscot,2021,151927,31470,20.71
Penobscot,2022,152000,32366,21.29
Penobscot,2023,152073,33270,21.88
Penobscot,2024,152147,34175,22.46
Penobscot,2025,152220,35080,23.05
Penobscot,2026,152294,35987,23.63
Piscataquis,2010,16794,4489,26.73
Piscataquis,2011,16801,4517,26.89
Piscataquis,2012,17211,4658,27.06
Piscataquis,2013,17383,4807,27.65
Piscataquis,2014,17486,4927,28.18
Piscataquis,2015,17432,4958,28.44
Piscataquis,2016,16876,3952,23.42
Piscataquis,2017,16682,4054,24.3
Piscataquis,2018,16488,4152,25.19
Piscataquis,2019,16295,4248,26.07
Piscataquis,2020,16101,4340,26.96
Piscataquis,2021,15908,4428,27.84
Piscataquis,2022,15724,4500,28.62
Piscataquis,2023,15540,4570,29.41
Piscataquis,2024,15356,4636,30.19
Piscataquis,2025,15172,4699,30.98
Piscataquis,2026,14989,4760,31.76
Sagadahoc,2010,36699,8508,23.18
Sagadahoc,2011,36730,8577,23.35
Sagadahoc,2012,37171,8853,23.82
Sagadahoc,2013,37402,9192,24.58
Sagadahoc,2014,37541,9482,25.26
Sagadahoc,2015,37582,9798,26.07
Sagadahoc,2016,35133,7542,21.47
Sagadahoc,2017,35153,7832,22.28
Sagadahoc,2018,35173,8121,23.09
Sagadahoc,2019,35193,8411,23.9
Sagadahoc,2020,35213,8701,24.71
Sagadahoc,2021,35233,8991,25.52
Sagadahoc,2022,35243,9247,26.24
Sagadahoc,2023,35253,9502,26.96
Sagadahoc,2024,35263,9758,27.67
Sagadahoc,2025,35273,10014,28.39
Sagadahoc,2026,35283,10272,29.11
Somerset,2010,50478,10969,21.73
Somerset,2011,50473,11051,21.89
Somerset,2012,50788,11419,22.48
Somerset,2013,51027,11690,22.91
Somerset,2014,51171,12028,23.51
Somerset,2015,51338,12237,23.84
Somerset,2016,50663,9946,19.63
Somerset,2017,50368,10260,20.37
Somerset,2018,50074,10572,21.11
Somerset,2019,49780,10879,21.86
Somerset,2020,49486,11182,22.6
Somerset,2021,49192,11480,23.34
Somerset,2022,48938,11743,24.0
Somerset,2023,48684,12001,24.65
Somerset,2024,48430,12256,25.31
Somerset,2025,48176,12508,25.96
Somerset,2026,47923,12758,26.62
Waldo,2010,39602,9226,23.3
Waldo,2011,39666,9316,23.49
Waldo,2012,39974,9696,24.26
Waldo,2013,40212,10096,25.11
Waldo,2014,40490,10449,25.81
Waldo,2015,40617,10753,26.47
Waldo,2016,39425,8593,21.8
Waldo,2017,39499,8935,22.62
Waldo,2018,39573,9277,23.44
Waldo,2019,39648,9620,24.27
Waldo,2020,39722,9965,25.09
Waldo,2021,39797,10312,25.91
Waldo,2022,39836,10612,26.64
Waldo,2023,39875,10913,27.37
Waldo,2024,39915,11216,28.1
Waldo,2025,39954,11518,28.83
Waldo,2026,39994,11822,29.56
Washington,2010,31107,7797,25.07
Washington,2011,31108,7842,25.21
Washington,2012,31213,8075,25.87
Washington,2013,31507,8294,26.32
Washington,2014,31446,8436,26.83
Washington,2015,31383,8537,27.2
Washington,2016,31566,7070,22.4
Washington,2017,31487,7319,23.25
Washington,2018,31408,7566,24.09
Washington,2019,31329,7812,24.94
Washington,2020,31250,8057,25.78
Washington,2021,31172,8300,26.63
Washington,2022,31082,8510,27.38
Washington,2023,30992,8718,28.13
Washington,2024,30902,8924,28.88
Washington,2025,30812,9129,29.63
Washington,2026,30723,9332,30.38
York,2010,211965,44182,20.84
York,2011,212263,44585,21.0
York,2012,215050,46308,21.53
York,2013,217084,48489,22.34
York,2014,219117,50701,23.14
York,2015,220143,52525,23.86
York,2016,202223,39734,19.65
York,2017,203390,41475,20.39
York,2018,204558,43231,21.13
York,2019,205726,45004,21.88
York,2020,206894,46795,22.62
York,2021,208062,48597,23.36
York,2022,209137,50230,24.02
York,2023,210212,51871,24.68
York,2024,211287,53527,25.33
York,2025,212362,55197,25.99
York,2026,213437,56871,26.65
